EMPTY,EMPTY,do 4 let,5–14 let,15–24 let,25 a více let
EMPTY,"10,487.01","1,769.61","2,194.69","2,059.74","4,463.01"
CELKEM,29.16,0.16,11.43,1.86,15.71
Braeburn,136.95,88.04,20.98,27.91,.
Cox Orange,13.17,-,0.16,1.12,11.89
Elstar,41.88,-,2.30,33.72,5.86
Fuji,13.30,0.26,6.03,7.01,-
Gala,339.64,111.26,200.62,25.67,2.09
Golden Delicious,"2,065.52",256.87,639.52,239.87,929.26
Granny Smith,11.88,.,1.24,5.02,5.61
Idared,"1,786.40",128.30,161.84,474.90,"1,021.35"
Jonagold/Jonagored,724.84,195.95,330.77,169.09,29.04
Pinova,16.34,i.d.,7.27,9.05,.
Red Delicious,160.21,4.07,5.48,6.21,144.45
Shampion,560.65,114.86,78.77,178.29,188.73
