Roky,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Celkem,17486.132,17945.991,18776.936,19783.715,18038.173,21859.597,20555.415,20808.842,20684.334,19940.462,20301.978,19908.179,19950.729,18732.591,17750.367,17866.826,17561.741,18084.294,18075.076,17581.971,16816.886,16133.443
Jádroviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10635.857
jabloně,9877.456,10168.909,10740.572,11485.721,10369.658,11855.648,11472.979,11849.078,11802.693,11496.097,11845.045,11669.493,11989.265,10942.731,10578.614,10806.057,10573.699,10942.476,10914.042,10695.674,10339.63,9662.206
hrušně,348.028,385.205,428.929,491.717,464.256,574.363,584.351,877.97,937.792,961.043,1000,962.838,937.867,945.176,944.033,927.18,936.49,942.874,1001.694,976.045,961.54,970.615
ostatní jádroviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.036
Peckoviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2919.297
broskvoně,544.117,589.88,551.772,522.391,495.82,542.398,477.988,451.318,400.569,368.384,313.67,291.679,270.035,234.969,212.773,190.3,172.33,162.006,135.834,118.718,88.613,96.989
meruňky,515.146,472.341,492.921,487.76,484.262,705.762,567.257,546.637,528.444,497.552,503.041,511.548,516.805,508.054,503.514,541.809,518.831,536.841,524.281,528.968,525.643,516.732
"slivoně, švestky",432.591,466.7,543.889,654.962,693.795,848.578,953.833,953.509,890.246,1018.314,1013.827,1033.204,1029.309,1028.471,1016.191,962.918,984.488,1097.625,1118.98,1137.939,1144.002,1083.495
švestky pravé a pološvestky,225.833,241.358,307.878,376.766,395.176,436.409,460.602,517.994,517.249,527.247,700.072,716.309,752.41,780.201,773.036,828.322,842.913,948.918,1005.626,1027.691,1034.799,.
"slívy, renklódy a mirabelky",206.758,225.342,236.011,278.196,298.619,412.169,493.231,435.515,372.997,491.067,313.755,316.895,276.899,248.27,243.155,134.596,141.575,148.707,113.354,110.248,109.203,.
třešně,326.677,437.342,360.639,400.376,359.353,446.695,376.211,432.558,410.39,427.627,428.26,428.362,433.103,468.069,471.589,488.348,486.623,504.581,514.918,514.012,501.057,530.029
višně,899.838,929.063,882.749,942.133,844.411,1005.859,908.416,915.152,864.113,771.992,734.408,712.002,761.996,720.13,735.683,726.211,724.711,712.842,722.576,693.4,699.576,689.765
ostatní peckoviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.287
Bobuloviny a drobné ovoce,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2534.862
rybízy,4397.11,4343.844,4634.218,4653.533,4236.661,5782.514,5146.406,4711.797,4792.982,4342.482,4406.481,4232.799,3949.137,3813.991,3219.298,3151.994,3084.868,3118.751,3074.872,2854.21,2497.619,2534.862
rybíz černý,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1098.523
rybíz červený a bílý,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1436.339
angrešty,110.48,118.022,110.155,112.392,64.516,66.821,40.674,43.077,25.91,24.145,23.133,28.827,28.676,20.332,19.681,19.31,21.799,24.004,24.368,21.116,18.222,.
maliníky,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
borůvka,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ostatní bobuloviny a drobné ovoce,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Skořápkoviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43.427
ořešáky vlašské,34.689,34.685,31.092,32.73,25.441,30.959,27.3,27.746,31.195,32.826,34.113,37.427,34.536,50.668,48.991,52.699,57.902,42.294,43.511,41.889,40.984,41.162
ostatní skořápkoviny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.265
