Rok,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Celkem,18080.6,18315.96,17526.24,17112.6,16041.73,14924.73,14452.86,14473.87,14666.62,14471.6,14277.19,13992.17,13412.38
Jádroviny,.,.,.,.,.,.,.,.,.,.,.,.,7243.09
jabloně,9299.42,9367.33,8981.93,9292.25,8308.86,7490.5,7348.94,7250.48,7319.73,7185.29,7113.47,7011.08,6445.43
hrušně,779.2,926.96,902.69,857.79,784.58,741.5,706.88,749.65,797,830.73,799.12,796.38,789.57
ostatní jádroviny,.,.,.,.,.,.,.,.,.,.,.,.,8.09
Peckoviny,.,.,.,.,.,.,.,.,.,.,.,.,5122.06
broskvoně,742.68,671.26,629.63,549.96,481.17,393.4,366,379.8,337,338.33,317.22,280.45,250.71
meruňky,1276.16,1295.15,1201.22,1179.13,1154.79,1151.33,1104.42,1148.44,1152,1166.96,1120.33,1107.8,1001.56
"slivoně, švestky",1957.95,1982.73,1916.35,1787.17,1873.43,1876.98,1758.36,1822.34,1880.91,1891.46,1940.64,1920.17025,1875.79
švestky pravé a pološvestky,1054.32,1436.53,1391.79,1425.47,1527.86,1449.43,1521.9,1294.9,1356.12,1388.17,1485.84,1426.29,.
"slívy, renklódy a mirabelky",903.63,546.2,524.56,361.7,345.57,427.55,236.46,527.44,524.79,503.29,454.8,493.9,.
třešně,1074.56,1108.57,1050.04,907.4,975.17,922.99,906.46,879.38,900.28,900.71,881.5,860.13,834.88
višně,1541.69,1585.5,1488.3,1327.48,1301.52,1263.51,1205.32,1190.6,1256.82,1253.47,1235.78,1209.45,1156.59
ostatní peckoviny,.,.,.,.,.,.,.,.,.,.,.,.,2.53
Bobuloviny a drobné ovoce,.,.,.,.,.,.,.,.,.,.,.,.,788.52
rybízy,1200.63,1201.9,1143.55,1004.26,1022.55,899,860.23,850.38,856.25,715.62,716.25,647.45,568.61
rybíz černý,.,.,.,.,.,.,.,.,.,.,.,.,309.39
rybíz červený a bílý,.,.,.,.,.,.,.,.,.,.,.,.,259.22
angrešty,8.57,9.83,10.74,27.37,10.48,10.63,9.87,4.74,6.76,4.09,4.88,4.6,.
maliníky,.,.,.,.,.,.,.,31.6,29.42,22.27,17.34,19.04,22.11
borůvka,.,.,.,.,.,.,.,.,.,.,.,.,68.85
ostatní bobuloviny a drobné ovoce,.,.,.,.,.,.,.,.,.,.,.,.,128.95
Skořápkoviny,.,.,.,.,.,.,.,.,.,.,.,.,258.71
ořešáky vlašské,199.74,166.73,201.79,179.79,129.18,174.89,186.38,166.46,130.45,162.67,130.66,135.6,131.44
ostatní skořápkoviny,.,.,.,.,.,.,.,.,.,.,.,.,127.27
