 ,Celkem,Jádroviny,jabloně,hrušně,ostatní jádroviny,Peckoviny,broskvoně,meruňky,"slivoně, švestky",švestky pravé a pološvestky,"slívy, renklódy a mirabelky",třešně,višně,ostatní peckoviny,Bobuloviny a drobné ovoce,rybízy,rybíz černý,rybíz červený a bílý,angrešty,maliníky,borůvka,ostatní bobuloviny a drobné ovoce,Skořápkoviny,ořešáky vlašské,ostatní skořápkoviny
2011,18080.6,.,9299.42,779.2,.,.,742.68,1276.16,1957.95,1054.32,903.63,1074.56,1541.69,.,.,1200.63,.,.,8.57,.,.,.,.,199.74,.
2012,18315.96,.,9367.33,926.96,.,.,671.26,1295.15,1982.73,1436.53,546.2,1108.57,1585.5,.,.,1201.9,.,.,9.83,.,.,.,.,166.73,.
2013,17526.24,.,8981.93,902.69,.,.,629.63,1201.22,1916.35,1391.79,524.56,1050.04,1488.3,.,.,1143.55,.,.,10.74,.,.,.,.,201.79,.
2014,17112.6,.,9292.25,857.79,.,.,549.96,1179.13,1787.17,1425.47,361.7,907.4,1327.48,.,.,1004.26,.,.,27.37,.,.,.,.,179.79,.
2015,16041.73,.,8308.86,784.58,.,.,481.17,1154.79,1873.43,1527.86,345.57,975.17,1301.52,.,.,1022.55,.,.,10.48,.,.,.,.,129.18,.
2016,14924.73,.,7490.5,741.5,.,.,393.4,1151.33,1876.98,1449.43,427.55,922.99,1263.51,.,.,899,.,.,10.63,.,.,.,.,174.89,.
2017,14452.86,.,7348.94,706.88,.,.,366,1104.42,1758.36,1521.9,236.46,906.46,1205.32,.,.,860.23,.,.,9.87,.,.,.,.,186.38,.
2018,14473.87,.,7250.48,749.65,.,.,379.8,1148.44,1822.34,1294.9,527.44,879.38,1190.6,.,.,850.38,.,.,4.74,31.6,.,.,.,166.46,.
2019,14666.62,.,7319.73,797,.,.,337,1152,1880.91,1356.12,524.79,900.28,1256.82,.,.,856.25,.,.,6.76,29.42,.,.,.,130.45,.
2020,14471.6,.,7185.29,830.73,.,.,338.33,1166.96,1891.46,1388.17,503.29,900.71,1253.47,.,.,715.62,.,.,4.09,22.27,.,.,.,162.67,.
2021,14277.19,.,7113.47,799.12,.,.,317.22,1120.33,1940.64,1485.84,454.8,881.5,1235.78,.,.,716.25,.,.,4.88,17.34,.,.,.,130.66,.
2022,13992.17,.,7011.08,796.38,.,.,280.45,1107.8,1920.17025,1426.29,493.9,860.13,1209.45,.,.,647.45,.,.,4.6,19.04,.,.,.,135.6,.
2023,13412.38,7243.09,6445.43,789.57,8.09,5122.06,250.71,1001.56,1875.79,.,.,834.88,1156.59,2.53,788.52,568.61,309.39,259.22,.,22.11,68.85,128.95,258.71,131.44,127.27
