Roky,Celkem,Jádrové ovoce,jablka,hrušky,ostatní jádroviny,Peckové ovoce,broskve,meruňky,"slivoně, švestky",švestky pravé a pološvestky,"slívy, renklódy a mirabelky",třešně,višně,ostatní peckoviny,Bobuloviny a drobné ovoce,rybíz,rybíz černý,rybíz červený a bílý,angrešt,maliny,borůvky,ostatní bobuloviny a drobné ovoce,Skořápkové ovoce,vlašské ořechy,ostatní skořápkové ovoce
2002,194155,.,165974,3180,.,.,5512,1455,3977,1694,2283,1871,8909,.,.,3042,.,.,126,.,.,.,.,109,.
2003,171200,.,140651,1515,.,.,5520,4293,4085,1715,2370,2821,8087,.,.,3921,.,.,135,.,.,.,.,172,.
2004,181886,.,146894,2264,.,.,4539,5484,6167,2911,3256,2977,9552,.,.,3729,.,.,164,.,.,.,.,116,.
2005,160725,.,134094,3288,.,.,2912,2374,4460,1924,2536,2053,7870,.,.,3456,.,.,88,.,.,.,.,130,.
2006,165176,.,136385,2867,.,.,3541,3020,5206,2612,2594,2271,8869,.,.,2846,.,.,35,.,.,.,.,136,.
2007,149109.55,.,115813.86,3615.78,.,.,3586.59,5441.38,5857.888,2340.82,3517.07,2776.92,8660.53,.,.,3226.96,.,.,17.51,.,.,.,.,112.13,.
2008,182589.09,.,154063.21,3075.22,.,.,3729.53,2864.41,5941.6,2105.09,3836.51,2341.96,6736.21,.,.,3709.03,.,.,19,.,.,.,.,108.92,.
2009,176693.77,.,141995.65,5882.64,.,.,3182.53,4949.69,8893.49,3686.56,5206.93,2404.05,6694.31,.,.,2505.95,.,.,16.32,.,.,.,.,169.14,.
2010,120308.46,.,99800.98,4168.53,.,.,1802.35,1332.7,4469.99,2088.6,2381.39,2106.92,4515.25,.,.,2016.69,.,.,25.73,.,.,.,.,69.32,.
2011,112141.11,.,84594.21,5691.5,.,.,2091.48,2422.18,6261.51,3013.3,3248.21,2661.54,6701.66,.,.,1671.83,.,.,4.39,.,.,.,.,40.81,.
2012,138479.59,.,118709.31,5345.17,.,.,1561.41,1032.31,4059.62,2733.7,1325.92,1538.54,3706.89,.,.,2469.33,.,.,5.83,.,.,.,.,51.18,.
2013,152021.45,.,121802.51,7171.91,.,.,2290.1,3991.58,7485.8,5080.36,2405.44,1716.17,5283.9,.,.,2203.03,.,.,28.14,.,.,.,.,48.31,.
2014,150932.84,.,128291.67,3728.91,.,.,1073.18,2316.99,6116.25,4622,1494.25,2433.7,5019.81,.,.,1846.7,.,.,39.57,.,.,.,.,66.06,.
2015,188593.59,.,155360.81,8920.98,.,.,1596.4,2237.91,9115.55,7706.11,1409.44,2443.3,5803.69,.,.,2912.13,.,.,22,.,.,.,.,180.82,.
2016,149716.27,.,124997.17,6541.16,.,.,275.17,782.1,5997.75,5094.7,903.05,2534.9,6677.86,.,.,1796.45,.,.,22.56,.,.,.,.,91.15,.
2017,122699.73,.,105279.59,3947.44,.,.,484.75,1019.01,4064.59,3829.98,234.61,1998.8,4202.42,.,.,1609.4,.,.,23.17,.,.,.,.,70.56,.
2018,186566.7,.,151528,7212.62,.,.,961.98,2254.64,12923.75,11576.25,1347.5,2713.81,6814.36,.,.,1887.31,.,.,15.88,100.27,.,.,.,154.08,.
2019,127009.44,.,99496.19,6129.85,.,.,546.36,2872,8756.16,7923.36,832.8,2644.97,5340.7,.,.,980.23,.,.,10.94,120.47,.,.,.,111.57,.
2020,141251.28,.,115585.43,7368.4,.,.,429.92,591.44,8823.66,8235.52,588.14,876.7,5857.71,.,.,1562.73,.,.,3.1,48.65,.,.,.,103.54,.
2021,139449.3,.,114957.7,7395.19,.,.,435.41,1861.96,6975.28,6380.96,594.32,1373.93,4954.84,.,.,1266.51,.,.,7.17,43.63,.,.,.,177.68,.
2022,159972.33,.,131352.75,8519.39,.,.,336.11,1528.96,10680.03,9762.7,917.33,1839.93,4437.49,.,.,1100.53,.,.,4.39,50.52,.,.,.,122.23,.
2023,123639.73,110644.87,101017.48,9602,25.39,11092.95,192.36,710.94,5415,.,.,1486.45,3287.02,1.18,1780.08,876.47,274.47,602,.,81.1,752.24,70.27,121.83,117.81,4.02
